NAMA,HARGA,LOKASI,LUAS_TANAH,LUAS_BANGUNAN,KAMAR_TIDUR,KAMAR_MANDI,SERTIFIKAT,DAYA_LISTRIK,GARASI,JUMLAH_LANTAI,DESKRIPSI,HARGA_NUMERIC,LUAS_TANAH_NUMERIC,LUAS_BANGUNAN_NUMERIC,KAMAR_TIDUR_NUMERIC,KAMAR_MANDI_NUMERIC
Rumah Baru Siap Huni di Tatar Grand Nayapati Kota Baru Parahyangan,"Rp 6,5 Miliar","Kota Baru Parahyangan, Bandung",290 m²,196 m²,4.0,3.0,HGB,2200 Watt,,2.0,FOR SALE Rumah baru di KBP Tatar Grand Nayapati  Luas Tanah : 290 m² Luas Bangunan : 196 m² Lebar Muka : 11.6 m 2 lantai Kamar Tidur : 4 Kamar Mandi : 3 Listrik : 2200 W Air : Artesis Carport  : 2 mobil SHGB Unfurnished  Hadap barat daya  OP: 6.5M  cha,65000000000.0,290.0,196.0,4.0,3.0
"Rumah Luas Sangat Terawat di Setra Duta, Bandung",Rp 18 Miliar,"Setra Duta, Bandung",626 m²,700 m²,5.0,3.0,SHM,10600 Watt,4.0,2.0,"Dijual Rumah di Setra Duta, Bandung Rumah Luas dan Sangat Terawat   Luas Tanah : 626 m2 Luas Bangunan : 700 m2 Bangunan : 2 Lantai Kamar Tidur : 5 Kamar Mandi : 3+1 Listrik : 10.500 Watt Air : Jetpump Garasi : 4 mobil Carport : 4 mobil Lantai Marmer Slab, Sanitair Itali/Germany   Harga : Rp 18 M   For More Information :  Glennisa Cyndie  0896xxxxxxxx  Discovery Property   GC X JO",18000000000.0,626.0,700.0,5.0,3.0
Rumah Komplek di Cilengkrang Ujungberung,Rp 550 Juta,"Cilengkrang, Bandung",85 m²,38 m²,2.0,1.0,SHM,1300 Watt,,1.0,"Kesempatan terbatas buat Anda dapatkan rumah strategis dengan return investasi tinggi di Cilengkrang, Bandung.  Rumah ini menawarkan lokasi yang strategis serta memiliki nilai tepat yang siap untuk segera Anda miliki, utamanya bagi Anda yang mencari hunian di lokasi yang dekat dengan fasilitas umum.  Kondisi properti ini bagus dan memiliki desain indah yang menambah daya tarik dan estetika properti ini. Rumah ini berada di wilayah strategis.  Detail Properti ini adalah:    - Kamar Tidur: 2   - Kamar Mandi: 1   - Sertifikat: SHM - Sertifikat Hak Milik   - Daya Listrik: 1300 watt   - Kondisi Perabotan: Unfurnished  Tersedia berbagai fasilitas lengkap, seperti:    - Tempat Jemuran.   - Taman.  Tidak hanya itu, namun properti ini juga memiliki keunggulan sebagai berikut:    - Siap Huni.   - Bebas Banjir.   - Cicilan Bertahap.   - Dekat Akses Bus Kota.   - Dekat Pusat Perbelanjaan.   - Dekat Sekolah Negeri.   - Dekat Universitas.   - Dekat Fasilitas Kesehatan.   - Dekat Taman Kota.  Lokasi Strategis terletak di Cilengkrang, properti ini memudahkan akses Anda ke fasilitas-fasilitas utama dan unggulan.  Harga yang sangat kompetitif yaitu, Rp. 550.000.xxx, rumah ini siap menjadi milik Anda!  Nikmati segala kemudahan dan berbagai keunggulan menarik saat properti eksklusif ini milik Anda.",550000000.0,85.0,38.0,2.0,1.0
Rumah 3 Lantai Mainroad Taman Kopo Indah 2,"Rp 3,8 Miliar","Margahayu, Bandung",137 m²,275 m²,5.0,5.0,SHM,2200 Watt,,3.0,"Rumah 3 lantai, mainroad Taman Kopo Indah 2 Bandung Luas bangunan +/- 275m Dekat ke Pasar Segar, pertokoan, supermarket, tempat kuliner, POM Bensin 5 menit ke pintu Tol Marga Asih",38000000000.0,137.0,275.0,5.0,5.0
Dijual Rumah Airbnb Omzet Puluhan Perbulan Kota Baru Parahyangan,"Rp 3,2 Miliar","Kota Baru Parahyangan, Bandung",100 m²,120 m²,3.0,2.0,SHM,2200 Watt,,2.0,"Dijual Rumah airbnb Lux Fullfurnish di Punawangi Kota Baru Parahyangan  2Lantai LT 100 m² LB 120 m² Lbr muka 8m Hadap Utara SHM 3KT 2KM Air Artesis Listrik 2200 Kitchen set Kolam renang (2.5m x 7m) Carpot 2 mobil Taman  Selalu full tersewa di weekend, dgn omzet rata2 30 jutaan perbulan  *Harga Jual : 3.2M - Nego*   Asa - SAP",32000000000.0,100.0,120.0,3.0,2.0
"Rumah 2 Lantai Di Cluster Bumi Adipura Siap Huni ,gede Bage",Rp 700 Juta,"Gede Bage, Bandung",60 m²,90 m²,2.0,1.0,SHM,1300 Watt,,2.0,Jual rumah  bumi adipura cluster tulip  Lt 60  Lb 90 Kt 3  Km 2 Listrik 1300 SHM Air pam Harga 700 jt.nego  Ade Living home,700000000.0,60.0,90.0,2.0,1.0
Rumah Mainroad Kopo,Rp 5 Miliar,"Kopo, Bandung",395 m²,280 m²,4.0,3.0,SHM,6600 Watt,2.0,1.0,"Rumah pinggir jalan Jl. Kopo 2 km ke pintu tol Kopo Lebar muka 16m Bisa dijadikan gudang, toko, minimarket Bebas banjir   Wgn-Leg",5000000000.0,395.0,280.0,4.0,3.0
Rumah Baru Antapani Murah,"Rp 1,2 Miliar","Antapani, Bandung",84 m²,70 m²,2.0,1.0,SHM,Lainnya,,1.0,"Lokasi strategis,15 menit ke pusat kota bandung,gedung sate,one gate, keamanan 24 jam, dekat fasilitas umum,sekolah ternama, SD IT ternama, lingkungan bagus,jalan besar ,hanya 27 unit",12000000000.0,84.0,70.0,2.0,1.0
Rumah Minimalis Nyaman Lokasi Strategis di Setra Dago Antapani,"Rp 2,5 Miliar","Antapani, Bandung",120 m²,198 m²,3.0,3.0,SHM,7700 Watt,,2.0,"For sale  Rumah di Setra Dago Antapani: Lt 120 m ²  Lb 198 m ²  (2,5 lantai) Lm 6 m Kmr tidur 3 Kmr mandi 3 Gudang 1 Listrik 7.700 watt Air summersible 2 toren 1000L Ac 5 Waterheater Terap tangga lt 1-lt 3 kayu jati perhutani asli grade A Furnish yang nempel Taman depan Hadap utara  SHM  Hrga 2,5 M",25000000000.0,120.0,198.0,3.0,3.0
Dijual Rumah Tinggal,Rp 15 Miliar,"Bandung Kota, Bandung",423 m²,150 m²,3.0,3.0,SHM,Lainnya,,1.0,Luas tanah 423 m² Lebar muka 15 M  Luas bangunan 150 m²  Kamar tidur 3  Kamar mandi 3   Listrik 1.300  Air PAM  Telpon 2 line SHM   Harga 15 M Nego,15000000000.0,423.0,150.0,3.0,3.0
Hot Sale! Rumah Bagus Siap Huni Dalam Komplek di Ciwastra Buah Batu Kota Bandung,"Rp 1,4 Miliar","Ciwastra, Bandung",104 m²,104 m²,3.0,3.0,HGB,Lainnya,,2.0,"Lokasi di jalan utama komplek, Kondisi Terawat, Bebas Banjir   Luas tanah 104 m² Luas bangunan 104 m²  2 Lantai  SHGB, IMB  3 Kamar tidur  3 Kamar mandi 2 carport  Listrik 2200 watt Air PDAM, Submersible  Bonus Furnished : - 2 unit Lemari kabinet TV - 1 Lemari pakaian besar - 1 unit Kitchen set lengkap) - 1 Walldrop interior TV - 1 unit lemari buku  Bonus Elektronik : - TV 50"" - AC   HARGA 1,4 MILIAR NEGO   Informasi lebih lanjut, ANDRESS YOGIARIUS ********",14000000000.0,104.0,104.0,3.0,3.0
Rumah Mewah 3 Lantai Pemandangan Asri dan Sejuk di Dago,Rp 4 Miliar,"Dago, Bandung",396 m²,235 m²,4.0,4.0,SHM,4400 Watt,1.0,3.0,"#21147  Kebun depan dan belakang luas bisa untuk swimming pool Cek segera rumah 3 lantai yang nyaman ini,  dijual dengan pemandangan asri yang menambah nilai estetika di lingkungan hunian. Rumah ini berada di area strategis serta menghadirkan lingkungan fasilitas yang lengkap, cocok untuk Anda yang menginginkan hunian strategis.  Spesifikasi Utama Properti:    - Kamar Tidur: 4   - Kamar Tidur Pembantu: 1   - Kamar Mandi: 4   - Sertifikat: SHM - Sertifikat Hak Milik   - Daya Listrik: 4400 W   - Arah Bangunan: Menghadap Tenggara  Fitur unggulan:    - Siap Huni.   - Bebas Banjir.   - Dekat Pusat Perbelanjaan.   - Dekat Akses Tol.   - Dekat Fasilitas Kesehatan.   - Dekat Universitas.   - Dekat Tempat Wisata.  Berlokasi di Dago, rumah ini memberikan kemudahan akses ke berbagai fasilitas menarik.  Dengan harga Rp. 4.000.000.xxx, anda bisa memiliki hunian premium yang sudah siap huni dan bersertifikat SHM - Sertifikat Hak Milik. Jangan lewatkan kesempatan untuk menikmati investasi di kawasan Dago yang nyaman ini!  Hubungi segera untuk informasi lebih lanjut!",4000000000.0,396.0,235.0,4.0,4.0
"Rumah Ini Menawarkan Kelengkapan Fasilitas serta Memiliki Jumlah Lantai 2 yang Siap untuk Segera Anda Miliki, Utamanya Bagi Anda yang Mencari Hunian di Lokasi yang Dekat dengan Fasilitas Umum.",Rp 1 Miliar,"Ujungberung, Bandung",75 m²,105 m²,3.0,1.0,SHM,Lainnya,,2.0,"Kesempatan terbatas buat Anda dapatkan rumah strategis dengan return investasi tinggi di Ujungberung, Bandung.  Rumah ini menawarkan kelengkapan fasilitas serta memiliki jumlah lantai 2 yang siap untuk segera Anda miliki, utamanya bagi Anda yang mencari hunian di lokasi yang dekat dengan fasilitas umum.  Kondisi properti ini bagus dan memiliki desain modern yang menambah daya tarik dan estetika properti ini. Rumah ini berada di area yang mudah dijangkau.  Detail Properti ini adalah:    - Kamar Tidur: 3   - Kamar Mandi: 1   - Sertifikat: SHM - Sertifikat Hak Milik   - Kondisi Perabotan: Unfurnished  Tidak hanya itu, namun properti ini juga memiliki keunggulan sebagai berikut:    - Bebas Banjir.   - Siap Huni.   - Lokasi Pinggiran Kota.   - Adem & Sejuk.   - Lingkungan Tenang dan Damai.   - Pemandangan Gunung.   - Pemandangan Alam.   - Cocok Untuk Investasi.   - Cocok Untuk Dijual Kembali.   - Properti Bisa Nego.   - Akses Jalan Muat 2 Mobil.   - Lokasi Strategis.   - Lokasi Bebas Banjir.  Lokasi Strategis terletak di Ujungberung, properti ini memudahkan akses Anda ke fasilitas-fasilitas utama dan unggulan.  Harga yang sangat kompetitif yaitu, Rp. 1.000.000.xxx, rumah ini siap menjadi milik Anda!  Nikmati segala kemudahan dan berbagai keunggulan menarik saat properti asri ini milik Anda.",1000000000.0,75.0,105.0,3.0,1.0
Dijual Rumah di Wilayah yang Nyaman,Rp 925 Juta,"Bandung Kota, Bandung",87 m²,120 m²,3.0,2.0,SHM,Lainnya,,2.0,"Rumah 2 lantai di Bandung Kota, Bandung.  Dijual rumah di wilayah yang nyaman dengan pemandangan Lokasi Pinggiran Kota. Properti 2 lantai ini berada di lingkungan strategis.  Spesifikasinya adalah sebagai berikut:    - Kamar Tidur: 3   - Kamar Mandi: 2   - Sertifikat: SHM - Sertifikat Hak Milik   - Kondisi Perabotan: Unfurnished  Tentunya properti ini layak untuk anda dapatkan karena:    - Siap Huni.   - Bebas Banjir.   - Lokasi Pinggiran Kota.   - Adem & Sejuk.   - Lingkungan Tenang dan Damai.   - Cocok Untuk Investasi.   - Cocok Untuk Dijual Kembali.   - Properti Bisa Nego.   - Akses Jalan Muat 2 Mobil.  Lokasi rumah berikut terjangkau, hanya selangkah menuju berbagai fasilitas utama dan menarik.  Hanya Rp. 925.000.xxx, anda dapat langsung dapatkan rumah strategis di daerah Bandung Kota ini.",925000000.0,87.0,120.0,3.0,2.0
"Jual Rumah Pinggir Jalan Raya Lengkong Besar Dekat Unpas, Bandung",Rp 15 Miliar,"Regol, Bandung",297 m²,220 m²,3.0,2.0,SHM,Lainnya,,1.0,"Rumah Pinggir Jalan Raya Lengkong Besar ini sangat strategis, lokasi dekat dengan Universitas Pasundan, Bandung.  Lokasi berada di tengah kota Bandung, merupakan investasi yang sangat potensial, dan jarang ada. Sangat sesuai untuk dijadikan ruang usaha atau kost-kostan karena demand di area ini sangat tinggi.  Spesifikasi: LT: 297 m | LB: 220 m Jumlah lantai: 1 lantai KT: 3 | KM: 2 Air: pompa/air tanah Listrik: 1.300 watt Legalitas: SHM  Tanah strategis ini ditawarkan dengan harga Rp 15 M (nego). Hubungi Simsshaus untuk private viewing appointment.  Simsshaus memiliki 3.000+ property listing aktif, dari cozy home, luxury estate hingga commercial use. Cukup kirim area & budget Anda, kami bantu temukan property terbaik tanpa perlu habiskan waktu untuk scroll panjang dan bandingkan ribuan listing.  DD",15000000000.0,297.0,220.0,3.0,2.0
Dijual Rumah Minimalis Setra Duta Milenial,Rp 4 Miliar,"Setra Duta, Bandung",208 m²,350 m²,5.0,5.0,SHM,Lainnya,1.0,1.0,Dijual   Rumah Minimalis Modern  Setraduta Milenia  LT. 208 m2 LB. 350 m2 Kamar tidur : 4+1  Kamar mandi : 4+1 (2 KT kamar mandi dalam) Hadap : Selatan Lebar muka : 10 meter Sertifikat : SHM (2 Sertifikat) Garasi : 1 mobil Carport : 1 mobil Full Renovasi   Open Price : 4 M nego  #17,4000000000.0,208.0,350.0,5.0,5.0
Rumah Pungkur / Moch Ramdan / Ciateul / Sawah Kurung Dijual Cepat,"Rp 3,2 Miliar","Pungkur, Bandung",245 m²,300 m²,3.0,3.0,SHM,Lainnya,1.0,2.0,"Dijual rumah di sayap Jl Moch Ramdhan  LT 245 m² LB 300 m² 3+1 KT 3+2 KM 1 garasi, 2 carport Hadap Utara SHM  Harga Rp 3.2 Miliar",32000000000.0,245.0,300.0,3.0,3.0
"[26]Dijual Rumah 1,5 Lantai di Kota Baru Parahyangan Jingganagara Padalarang Kbp","Rp 3,6 Miliar","Kota Baru Parahyangan, Bandung",180 m²,120 m²,4.0,3.0,SHM,Lainnya,,2.0,"DIJUAL Rumah 1,5 Lantai di Kota Baru Parahyangan Jingganagara Padalarang KBB  LT 180m2 LB 120m2 Lebar muka +/-9m 1,5 lantai 3+1KT 2+1KM Air artesis Listrik 2200W Carport 1 mobil Taman di depan  Jalan utama cluster Dalam cluster One gate system Keamanan 24 jam Lingkungan nyaman Akses jalan 2 mobil simpangan Kamar tidur utama ada walking kloset Kondisi siap pakai Furnish + elektronik Hadap Utara  Sertifikat SHM Harga 3,6 Miliar nego  OPI 26",36000000000.0,180.0,120.0,4.0,3.0
Termurah ! Dijual Cepat Rumah Minimalis Luas Padasuka Park,"Rp 1,3 Miliar","Padasuka, Bandung",157 m²,55 m²,2.0,1.0,SHM,2200 Watt,,1.0,"*DIJUAL rumah cantik, hook, halaman luas di Padasuka Park*  Lokasi : Kompleks Padasuka Park, dekat Cicaheum L.Tanah : 157 m² L.Bangunan :  55 m² Lebar Muka :  K.Tidur : 2 K.mandi : 1 Listrik : 1300 watt Carport : 2 Hadap : Utara & Timur Air : tanah Sertifikat : SHM  Harga : 1,3 M  Kode : SCI1RE",13000000000.0,157.0,55.0,2.0,1.0
rumah bagus siap huni buah batu bandung kota,"Rp 6,1 Miliar","Buah Batu, Bandung",305 m²,200 m²,3.0,3.0,SHM,4400 Watt,,1.0,,61000000000.0,305.0,200.0,3.0,3.0
RUMAH BAGUS NYAMAN MINIMALIS SIAP HUNI DI TAMAN KOPO INDAH 2 TKI2 BANDUNG,Rp 800 Juta,"Taman Kopo Indah, Bandung",96 m²,70 m²,3.0,1.0,SHM,2200 Watt,,1.0,JUAL CEPAT & MURAH Taman Kopo Indah 2 / TKI 2 Lt. 96 LB. 70 Lm. 6 m KT. 3 + 1 KM. 1 Air summersible Listrik 2200 watt   Harga penawaran 800 jt    DEB,800000000.0,96.0,70.0,3.0,1.0
RUMAH NYAMAN 2 LANTAI MINIMALIS ASRI TERAWAT SIAP HUNI DI MARGAHAYU KENCANA KOPO BANDUNG,"Rp 1,7 Miliar","Bojongloa Kaler, Bandung",131 m²,170 m²,4.0,2.0,SHM,900 Watt,,2.0,"DIJUAL RUMAH DI MARGAHAYU KENCANA KOPO  Sertifikat : SHM * Bangunan 2 Lantai * ⁠Luas Tanah 131 m * ⁠Luas Bangunan 170 m * ⁠Hadap Utara  * ⁠4 Kamar Tidur (2 dibawah,2 diatas) * ⁠2 Kamar Mandi  * ⁠Ruang Tamu 1 - Ruang Keluarga 1 -  Dapur 1 * ⁠Air PDAM  * ⁠Listrik 900 VA * ⁠Teras depan * ⁠Garasi samping (muat 1 mobil) * ⁠Tempat jemuran   Akses Perumahan : - dekat dengan sekolah SMPN dan SMAN 1 Margahayu 600 m - ⁠dekat dengan SMAN 1 Margaasih 3 km - ⁠dekat dengan RS Maranatha (UKM) 3 Km - ⁠dekat dengan RS Santosa 3 km - ⁠dekat dengan Miko Mall 2 Km - ⁠dekat dengan tempat perbelanjaan (Pasar Sederhana dan Pasar Modern) 1 km - ⁠dekat dengan gerbang Tol Kopo dan Seroja 2 km  Harga 1,7M nego  noy",17000000000.0,131.0,170.0,4.0,2.0
RUMAH CANTIK FULL RENOVASI LINGKUNGAN ASRI NYAMAN SIAP HUNI DI MARGAASIH BANDUNG,Rp 600 Juta,"Margaasih, Bandung",84 m²,80 m²,3.0,1.0,SHM,2200 Watt,,1.0,"Jual Rumah full renovasi Lokasi Margaasih, Kab Bandung  Luas tanah 84 m² Luas bangunan 80 m² SHM 3 kamar tidur 1 kamar mandi Water heater Air Jetpump Sudah pakai filter air listrik 2200  Selling point : Lokasi Perumahan Nyaman Dekat dengan Fasilitas Umum 5 Menit Ke Pasar Dimensi 10 Menit ke Tol Margaasih  15 Menit Ke Tol Baros 5 Menit Ke Borma Gempol Sari  5 Menit Ke Polsek Margaasih 10 Menit Ke Rumah Sakit Avisena  Harga 600juta Nego   IRS",600000000.0,84.0,80.0,3.0,1.0
Dijual Murah Saja Rumah 2 Lantai D Arcamanik Cisaranten Siap Huni,Rp 900 Juta,"Arcamanik, Bandung",115 m²,104 m²,3.0,1.0,SHM,2200 Watt,,2.0,Dijual Murah Saja Rumah Di Arcamanik Cisaranten Siap Huni  SHM Luas bangunan 104 m2 Luas tanah 115 m2 Kamar tidur 3  Kamar Mandi 1 Lantai 2 LISTRIK 2200 Sumur bor 60m sudah ada filter  Fasilitas : Carport 1 Garden Water heater  HARGA 900 JT HSB,900000000.0,115.0,104.0,3.0,1.0
Rumah Mewah Nyaman Siap Huni dan Lokasi Strategis di Dago Bandung,Rp 12 Miliar,"Dago, Bandung",538 m²,600 m²,4.0,4.0,SHM,7700 Watt,,,Rumah Mewah Nyaman Siap Huni dan Lokasi Strategis di Dago Bandung  Luas Tanah : 538 m2 Luas Bangunan : 600 m2 Listrik : 7.700 Watt Air : PDAM 4 Kamar Tidur + 1 Tenda Kolam Renang 3x5 m Electric Pintu Garasi dan Hoist Insatalasi Wifi di Seluruh Lantai CCTV Wifi 6 Unit #266359,12000000000.0,538.0,600.0,4.0,4.0
Rumah Murah Hook Dalam Komplek di Antapani Kota Bandung,"Rp 1,5 Miliar","Antapani, Bandung",184 m²,120 m²,3.0,2.0,SHM,1300 Watt,,1.0,Spek Rumah : Luas tanah 184 m luas bangunan 120 m  SHM spesifikasi -mushalla -ruangmakan -dapur -ruang keluarga -ruang tamu -ruang jemuran -carport bisa 2 mobil expander -air pake sumur sible -PBB tahun 2024 -kamar tidur 3 -kamar mandi 2 -listrik 1300 watt,15000000000.0,184.0,120.0,3.0,2.0
Luxury home with breathtaking lake and lush green views. Fully renovated KBP Kota Baru Parahyangan,Rp 7 Miliar,"Cipeundeuy, Bandung",350 m²,270 m²,4.0,3.0,SHM,3500 Watt,,1.0,"Rumah Dijual Bandung Barat This stunning property comes semi-furnished with: - 2 kitchen sets - 2 Bed - 3 Water heater - 3 Air conditioning - 2 en-suite bedrooms with walk-in wardrobes - 2 Storage cabinet (garage and laundry)  Double garage with additional carports  A perfect blend of luxury, space, and serenity. Don't miss out on this incredible opportunity!",7000000000.0,350.0,270.0,4.0,3.0
Komplek Terdekat Harga Termurah di Bandung Timur,Rp 375 Juta,"Cileunyi, Bandung",100 m²,70 m²,3.0,2.0,SHM,2200 Watt,,1.0,Harga dijamin Paling Murah Lokasi dijamin paling dekat Bangunan Readystok siap huni Sudah banyak Rumah Contoh  Cluster Ekslusif Onegate System Kawasan paling berkembang di Bandung timur Lokasi aman nyaman bebas banjir Udara Masih sejuk Air Bening Berlimpah View Sangat Menawan  Lokasi sangat Strategis : Hanya 300m dari SMPN 1 Cileunyi Hanya 600m dari BTN Bandung Timur Hanya 800m dari Borma Cinunuk Hanya 700m dari Griya Grand Cinunuk Hanya 3km dari Kawasan Kampus Jatinangor Hanya 2km dari Rumah Sakit AMC Hanya 2km dari Gerbang Tol Cileunyi  Spesifikasi Rumah :  Type 1 Lantai Harga Mulai Rp 350jt Type 2 Lantai Harga Mulai Rp 499jt Type Private Pool 1 Lantai Rp 525jt Type Private Pool 2 Lantai Rp 650jt,375000000.0,100.0,70.0,3.0,2.0
Rumah Antik Terawat Siap Huni dengan Lokasi Dekat Universitas Ternama di Cikutra Bandung,"Rp 3,8 Miliar","Cikutra, Bandung",280 m²,250 m²,7.0,4.0,SHM,2200 Watt,1.0,1.0,"Rumah antik terawat  di Cikutra   Luas tanah 280 m² Ls bangunan 250 m² Lebar muka +-15 m 1,5 lantai Kamar tidur 7 Kamar mandi 4 Listrik 2200 w Air PDAM  SHM Garasi 1 Carport 1 Dekat kampus ternama   Harga 3,8 M nego    STE",38000000000.0,280.0,250.0,7.0,4.0
Jual Rumah di Kiaracondong Dalam Cluster 3 Lantai,Rp 880 Juta,"Kiaracondong, Bandung",60 m²,150 m²,4.0,2.0,SHM,Lainnya,,3.0,"Bismillah Dijual Rumah  Di Cluster Bali Kiaracondong  Baru renov 2 bulanan Cluster satpam 24 jam SHM Lt 60 Lb 150 Sudah fullspek 2 setengah lantai Dak full cor Full bata merah 4kt 2km 1gudang Plafon pvc Plafon dalam full led Lantai bawah full granit Cat jotun dll Semi full furnish termasuk (kitchen set,water heater dekor yg nempel di dinding) Selling point : Dekat kemana mana Tsm 3 menit Samsat kawaluyaan 2 menit Stasiun kiaracondong 2 menit Kiara artha park 5 menit Harga 875 nego 0888xxxxxxxx",880000000.0,60.0,150.0,4.0,2.0
"Rumah Baru Murah Hanya 2,5 Juta All In di Katapang Bandung",Rp 400 Juta,"Katapang, Bandung",60 m²,40 m²,2.0,1.0,SHM,1300 Watt,,1.0,Dijual Rumah Baru Taman Katapang Asri  Type 1 Lantai Luas Tanah 60 m² Luas Bangunan 40 m² 1 Lantai  Kamar Tidur 2 Kamar Mandi 1 Air Submersible Listrik 1300 Watt Carport 1 Mobil SHM  Booking Fee 2.5 Jt Harga Mulai 400 Jt an   Type 2 Lantai Luas Tanah 70 m² Luas Bangunan 72 m² 2 Lantai  Kamar Tidur 3 Kamar Mandi 1 Air Submersible Listrik 1300 Watt Carport 1 Mobil SHM  Booking Fee 5 Jt Harga Mulai 600 Jt an  Fasilitas Perumahan:  One Gate System CCTV Bebas Banjir Security 24 Jam Masjid Ruang Terbuka Hijau  Selling Point : Dekat ke Tol Soroja Dekat ke RS Hermina Soreang Dekat ke Yogya Soreang Dekat ke Borma Katapang Dekat Stadion Jalak Harupat,400000000.0,60.0,40.0,2.0,1.0
Harga Dibawah Pasaran Rumah di Kota Baru Parahyangan Bandung,"Rp 7,9 Miliar","Kota Baru Parahyangan, Bandung",529 m²,600 m²,6.0,4.0,SHM,3500 Watt,2.0,3.0,"Rumah 3 lantai di Kota Baru Parahyangan, Bandung.  For sale rumah di wilayah yang tenang. Properti 3 lantai ini berada di lingkungan strategis.  Rinciannya adalah sebagai berikut:    - Kamar Tidur: 6   - Kamar Mandi: 4   - Sertifikat: SHM - Sertifikat Hak Milik   - Daya Listrik: 3500 W   - Kondisi Perabotan: Semi Furnished  Tidak hanya itu, properti ini layak untuk dimiliki karena:    - Bebas Banjir.   - Siap Huni.  Properti berikut sudah lengkap dengan fasilitas:    - Keamanan 24 jam.   - Taman.  Lokasi rumah berikut terjangkau, hanya selangkah menuju berbagai fasilitas utama dan menarik.  Dengan Rp. 7.900.000.xxx, anda bisa langsung dapatkan rumah eksklusif di daerah Kota Baru Parahyangan ini.",79000000000.0,529.0,600.0,6.0,4.0
Rumah Modern Minimalis Dalam Komplek Area Soekarno Hatta,Rp 950 Juta,"Soekarno Hatta, Bandung",70 m²,140 m²,4.0,2.0,SHM,Lainnya,,3.0,"SHM  Luas tanah : 70m² +(kelebihan tanah samping rumah 70m2)  Luas bangunan : 140m² Kamar tidur : 4 Kamar mandi : 2 Lantai: 3 Listrik : 2200watt Air : Sible Carport : 1 mobil Akses : 2 mobil  Selling points: Lokasi Strategis,  Security 24 Jam,  Lingkungan Aman & Nyaman,  Akses Mudah,  Dekat Sekolah,  Dekat Universitas, Dekat Minimarket & Supermarket  *Harga : Rp 950 juta* nego  agsfrida",950000000.0,70.0,140.0,4.0,2.0
"Rumah Bagus 2 Lt Full Furnished ,Kopo Bandung","Rp 4,5 Miliar","Taman Kopo Indah, Bandung",270 m²,350 m²,3.0,3.0,SHM,3300 Watt,,,Rumah siap pakai fasilitas  kolam ikan taman belakang balkon ruang tamu dan ruang kell luas 3 kamar + k mandi dalem CCtv loundry room lingkungan aman  dkt akses tol margaasih #269694,45000000000.0,270.0,350.0,3.0,3.0
Dijual Rumah Lokasi Hook di Cijagra Buahbatu Lengkong Kota Bandung,"Rp 4,7 Miliar","Cijagra, Bandung",410 m²,278 m²,6.0,4.0,SHM,4400 Watt,2.0,2.0,"Dijual rumah hook, lokasi di pusat Kota Bandung. Daerah *Suryalaya, Buah Batu*   luas tanah 410 luas bangunan 278 posisi bangunan di hook hadap timur selatan kamar tidur 6 + 1 kamar mandi 4 garasi  2 mbl + car port 2 mbl  lingkungan aman, tetangga baik, listrik 4400 w, Air PDAM & air sumur jet pump, terpasang AC 5 buah, telp rumah, wifi, taman depan, kolam ikan hias belakang, ruang tamu, ruang keluarga, ruang makan, dapur bersih dan dapur kotor, jemuran, teras dan halaman depan luas.  dekat pos satpam dekat ke mesjid 100m dekat ke pasar tradisional (Pasar Palasari, Pasar Kordon) dekat ke pasar modern Batununggal dekat ke mini market, supermarket (Indomaret, Alfamart, Griya, Superindo,dll) dekat ke Puskesmas, Klinik umum dan RS (RS Muhammadiyah, RS Mayapada, RS Mata BEC, dll) dekat akses tol (Tol Buah Batu & Tol Moh. Toha) 10 ' dekat ke sekolah-sekolah dan univ favorit 10 menit ke Trans Studio Mall Harga 4,7 M   RN IPRO",47000000000.0,410.0,278.0,6.0,4.0
"Dijual Rumah 1,5 Lantai Luas 141m2, 3+2 Kamar Tidur Dalam Komplek Keamanan 24 Jam, Hanya 9 Menit Menuju Pintu Tol Kopo Bandung",Rp 1 Miliar,"Kopo, Bandung",141 m²,156 m²,3.0,2.0,SHM,2200 Watt,,1.0,"Lokasi Strategis Rumah 1,5 Lantai berlokasi di Kopo Bandung  Lokasi Strategis  Spesifikasi unit :  Sertifikat SHM Luas Bangunan 156m2 | Luas Tanah 141m2 3+2 Kamar Tidur 2 Kamar Mandi Carpot 1 Mobil Ruang Tamu Ruang Keluarga Teras Dapur Listrik 2200 Watt Air Tanah  Harga Jual : 1 M ( Nego )   Akses :  - 700m dari Borma Toserba - 450m dari Toserba Griya Kopo - 1,2 KM dari McDonalds Kopo Mas - 1,3 KM dari Bandung Indah Waterpark - 1,8 KM dari Gerbang Tol Kopo - 2,9 KM dari Sekolah BPK Penabur Singgasana - 1,4 KM dari Miko Mall - 1,3 KM dari SPBU Pertamina  - 2,6 KM dari Santosa Hospital Kopo - 3,6 KM dari Singgasana Sport & Recreaction Center - 4 KM dari Terminal Leuwi Panjang - 3,8 KM dari Yogya Supermarket Mekarwangi  Hubungi :  Elsa 0821xxxxxxxx",1000000000.0,141.0,156.0,3.0,2.0
